0.511,0.132,-0.092,0.115,-0.085,0.112,-0.1,-0.012,0.511,0.511,0.511,0.511
0.512,0.132,-0.089,0.115,-0.085,0.112,-0.1,-0.012,0.512,0.512,0.512,0.512
0.516,0.132,-0.089,0.115,-0.085,0.112,-0.1,-0.012,0.516,0.516,0.516,0.516
0.519,0.132,-0.089,0.115,-0.085,0.112,-0.097,-0.012,0.519,0.519,0.519,0.519
0.52,0.132,-0.089,0.115,-0.085,0.112,-0.097,-0.012,0.52,0.52,0.52,0.52
0.523,0.132,-0.089,0.115,-0.085,0.112,-0.1,-0.012,0.523,0.523,0.523,0.523
0.52,0.132,-0.092,0.115,-0.085,0.112,-0.1,-0.012,0.52,0.52,0.52,0.52
0.524,0.132,-0.092,0.115,-0.085,0.112,-0.1,-0.013,0.524,0.524,0.524,0.524
0.527,0.132,-0.092,0.115,-0.085,0.112,-0.1,-0.012,0.527,0.527,0.527,0.527
0.528,0.135,-0.092,0.115,-0.085,0.112,-0.1,-0.012,0.528,0.528,0.528,0.528
0.528,0.135,-0.089,0.115,-0.085,0.112,-0.1,-0.012,0.528,0.528,0.528,0.528
0.528,0.135,-0.089,0.115,-0.085,0.112,-0.097,-0.012,0.528,0.528,0.528,0.528
0.532,0.135,-0.089,0.115,-0.085,0.112,-0.097,-0.012,0.532,0.532,0.532,0.532
0.535,0.135,-0.089,0.115,-0.085,0.112,-0.1,-0.012,0.535,0.535,0.535,0.535
0.532,0.135,-0.092,0.115,-0.085,0.112,-0.1,-0.013,0.532,0.532,0.532,0.532
0.532,0.132,-0.092,0.115,-0.085,0.112,-0.1,-0.012,0.532,0.532,0.532,0.532
0.536,0.135,-0.092,0.115,-0.085,0.112,-0.1,-0.012,0.536,0.536,0.536,0.536
0.535,0.135,-0.092,0.115,-0.085,0.112,-0.1,-0.013,0.535,0.535,0.535,0.535
0.535,0.135,-0.092,0.115,-0.085,0.112,-0.1,-0.012,0.535,0.535,0.535,0.535
0.535,0.135,-0.089,0.115,-0.085,0.112,-0.1,-0.012,0.535,0.535,0.535,0.535
0.535,0.135,-0.089,0.115,-0.085,0.112,-0.097,-0.012,0.535,0.535,0.535,0.535
0.536,0.135,-0.089,0.115,-0.085,0.112,-0.1,-0.012,0.536,0.536,0.536,0.536
0.536,0.135,-0.089,0.115,-0.085,0.112,-0.1,-0.012,0.536,0.536,0.536,0.536
0.535,0.135,-0.092,0.115,-0.085,0.112,-0.1,-0.012,0.535,0.535,0.535,0.535
0.535,0.135,-0.092,0.115,-0.085,0.112,-0.1,-0.013,0.535,0.535,0.535,0.535
0.535,0.135,-0.092,0.115,-0.085,0.112,-0.1,-0.012,0.535,0.535,0.535,0.535
